channel_id,batch_num,delta_V_uL,delta_t_s,flow_rate_uL_per_s
1,1,79.18464248623386,6.801209469440565,11.608513516731326
2,1,111.97092648449738,10.039210871922304,11.183764913561445
3,1,134.72655855282878,11.59638348408695,11.596210466934892
4,1,84.83197085940755,7.287544534222673,11.295718781883254
5,1,82.56590070664022,7.18418230863734,11.293690999135652
6,1,164.1921360499188,14.548990589630153,11.44053575132595
7,1,125.81136462674446,12.248929341642391,10.872451547509655
8,1,64.30949467892422,5.34336848258648,11.823785326226869
9,1,168.04986871210906,14.816170341916324,11.17164580348035
10,1,59.97986164736025,5.084961662918887,11.7566214866721
11,1,86.64238681457131,7.64961881651291,11.45423958313988
12,1,174.67848516238718,14.173241515346026,11.942738767661368
13,1,62.543026151496804,5.80387716389803,11.175537894964151
14,1,150.64669323110505,13.54715704220328,11.297398990026817
15,1,72.11852116912851,6.446773973713633,11.524746384086878
16,1,72.76629003658223,6.792410777291673,10.633912305421358
17,1,148.85721286363147,12.846734732992243,11.696299694336847
18,1,173.73737772004674,13.954240566120944,11.946097827933006
19,1,113.4157652269364,9.607343260722974,11.800909567434049
20,1,62.544641050856576,5.384836822022203,11.670696565300577
21,1,93.64188704648124,8.153052602125381,11.35543492720096
22,1,60.1944255555255,5.1529324969241275,11.855192969262188
23,1,97.88438688651468,8.491736851311014,11.78243790748147
24,1,135.26210310580203,11.593100188869682,11.543944485393334
25,1,86.44447429052329,7.6521613219335265,11.408317199281433
26,1,132.48316707855687,11.520188384409447,11.279908784534966
27,1,157.72851724872464,14.27480196623524,10.975945921369632
28,1,114.61561035088774,9.661387585844341,11.835707442278691
29,1,75.38414916716678,7.07109560665533,10.646311829451475
30,1,160.16218743578702,14.227142446397776,11.276975618742979
31,2,173.49738794464434,14.458566109425986,11.902613061375272
32,2,78.25551406519956,6.349056539189855,12.424238897578823
33,2,176.18135962043166,13.99638533768082,13.100573936503128
34,2,99.36567617332597,7.921491668384108,12.524320841083128
35,2,71.95241228504997,6.281754432202459,11.560686939545441
36,2,74.0826787956227,6.18076690233249,12.325423677536127
37,2,138.56813539581293,12.594500770851804,10.833127771429497
38,2,75.05022396287383,5.884425144188402,12.8517819041358
39,2,142.16664262580306,12.631517436063376,11.661971515497216
40,2,83.25997385310889,7.396185539861884,11.274008646628976
41,2,102.421748536073,9.187837899229205,11.300032933795116
