batch_id,layer_thickness_um,ambient_temp,resin_temp,resin_age,channel_1_length,channel_1_width,channel_1_height,channel_2_length,channel_2_width,channel_2_height,channel_3_length,channel_3_width,channel_3_height,channel_4_length,channel_4_width,channel_4_height,channel_1_post_print_length_delta,channel_1_post_print_width_delta,channel_1_post_print_height_delta,channel_2_post_print_length_delta,channel_2_post_print_width_delta,channel_2_post_print_height_delta,channel_3_post_print_length_delta,channel_3_post_print_width_delta,channel_3_post_print_height_delta,channel_4_post_print_length_delta,channel_4_post_print_width_delta,channel_4_post_print_height_delta,channel_1_flow_rate_ml_per_min,channel_2_flow_rate_ml_per_min,channel_3_flow_rate_ml_per_min,channel_4_flow_rate_ml_per_min,flow_rate_cv
1,100,77.56,79.43,1,15.641,0.1377,0.6795,17.252,0.4902,0.8405,16.854,0.4045,0.4991,19.634,0.4144,0.3045,0.026,-0.018,0.0309,-0.0031,-0.0026,0.0041,0.0418,0.0004,0.0114,-0.0846,-0.0115,-0.0054,0.04087,0.24227,0.04264,0.00838,1.109054
2,100,98.83,98.44,4,18.415,0.1779,0.4334,18.724,0.2867,0.5226,19.838,0.1175,0.2705,16.629,0.1617,0.2169,0.0766,0.0098,0.0263,0.0478,-0.0191,-0.0008,-0.0565,0.0335,-0.0138,0.0765,-0.0109,0.0174,0.08267,0.23063,0.01228,0.00988,1.0688
3,100,92.19,92.48,7,18.935,0.373,0.513,18.324,0.1559,0.6119,18.526,0.18,0.2258,18.904,0.1029,0.2031,-0.0054,-0.0264,-0.0037,-0.0493,-0.0321,-0.0036,0.0265,0.0065,0.013,-0.0079,-0.0007,-0.0162,0.2628,0.20783,0.01225,0.00511,0.942637
4,50,82.37,84.35,9,16.17,0.2747,0.6957,15.292,0.1858,0.6013,16.407,0.2634,0.8055,16.468,0.4414,0.6979,0.0201,0.0366,0.0146,0.0252,0.0041,-0.0136,0.0721,-0.0044,0.0203,-0.0213,-0.0109,0.0092,0.11458,0.0541,0.17155,0.17522,0.383439
5,50,78.48,77.3,12,16.508,0.1609,0.2062,18.151,0.3785,0.9657,16.809,0.2785,0.9177,15.438,0.2524,0.7297,0.0345,0.0236,0.0097,-0.0265,-0.0151,-0.0087,-0.1236,0.0166,0.0062,-0.0506,-0.0143,0.0089,0.00098,0.14906,0.08903,0.0469,0.762939
6,100,63.86,63.01,13,19.283,0.1809,0.6646,18.793,0.2224,0.6257,18.597,0.3317,0.6849,17.16,0.1707,0.176,-0.0201,-0.0094,0.0205,-0.0396,-0.0284,0.0113,-0.0398,-0.0442,0.0282,-0.0827,0.0021,-0.0046,0.0937,0.09702,0.1889,0.00185,0.693544
7,50,83.51,81.91,14,19.793,0.3324,0.538,17.412,0.2387,0.5416,18.914,0.3364,0.944,15.414,0.1091,0.6146,0.0112,-0.0343,-0.0145,-0.0054,-0.0129,0.0075,0.0289,0.0047,-0.0116,0.0412,-0.0051,0.0049,0.03612,0.03063,0.20851,0.02338,1.036861
8,100,93.05,93.44,16,18.297,0.3216,0.9244,18.635,0.1434,0.3072,18.843,0.3689,0.1337,15.539,0.2125,0.5994,0.0006,0.0271,0.0103,-0.0518,-0.0216,-0.0147,-0.0102,0.0154,-0.0187,0.0037,0.0301,-0.0188,0.19245,0.00273,0.00101,0.03956,1.333717
9,50,80.6,80.5,19,19.458,0.1658,0.567,18.743,0.118,0.3843,19.454,0.274,0.7948,19.467,0.497,0.6955,0.0049,-0.0023,0.0159,-0.0277,0.0337,0.0015,0.0186,-0.0296,-0.0267,-0.0645,-0.053,0.0139,0.03383,0.00743,0.14002,0.16912,0.780754
10,100,64.91,69.22,22,16.552,0.1717,0.2295,18.887,0.3398,0.1125,19.859,0.4498,0.3067,17.504,0.1786,0.2186,-0.0387,0.0248,-0.0264,-0.0599,0.0176,0.0113,-0.0302,0.0229,0.0224,-0.0648,0.0218,-0.0028,0.05219,0.01036,0.2604,0.04304,1.079224
11,50,92.16,94.45,23,16.505,0.1524,0.3578,17.443,0.1495,0.9323,18.314,0.471,0.1224,19.778,0.259,0.5997,0.0012,-0.0319,-0.0177,0.0982,-0.0002,-0.025,0.0043,0.0068,0.0098,-0.0168,0.0249,-0.0078,0.01662,0.27429,0.00201,0.11797,1.057741
12,100,97.32,96.6,25,18.984,0.4139,0.881,16.163,0.1071,0.6428,17.654,0.1437,0.4713,18.03,0.4318,0.4368,0.0249,-0.012,-0.0306,0.0018,0.0296,0.0082,-0.0078,-0.0083,-0.0008,0.0835,-0.0415,0.0157,0.17871,0.02154,0.01301,0.02471,1.159237
13,50,89.84,94.43,28,16.552,0.1266,0.3562,15.719,0.3378,0.2383,19.605,0.1585,0.2039,15.828,0.4299,0.119,0.0726,0.0001,-0.004,-0.035,0.0015,-0.0099,0.0584,0.0127,0.0042,-0.013,-0.0069,-0.0106,0.06729,0.05884,0.01417,0.00916,0.694067
14,50,72.72,72.85,31,16.247,0.4405,0.4363,17.856,0.1174,0.5714,17.081,0.1726,0.1915,15.246,0.1947,0.8501,0.048,0.0009,0.0108,0.0107,-0.0172,0.0086,0.0127,0.0454,-0.0169,-0.0752,-0.0074,-0.0211,0.0162,0.0109,0.00095,0.0596,1.02394
15,100,92.08,92.74,33,19.288,0.4116,0.3398,17.314,0.1538,0.2258,16.925,0.3144,0.5301,18.198,0.3057,0.4752,0.1077,-0.009,0.0225,-0.0056,0.0305,-0.0114,0.0169,0.0036,0.0367,-0.0123,-0.0282,-0.0233,0.04103,0.00473,0.12975,0.08045,0.726034
